task_id,task_name,workload_id,role_id,category,effort_hours,previous_state,new_state,automation_pct,freed_hours,tool_used
TK-0113,Compile evidence summary,WL-0030,CL-008,task_iteration,6.0,human,human_ai,31.5,1.89,Microsoft Copilot
TK-0114,Research applicable regulations,WL-0030,CL-008,learning,6.0,human,human_ai,22.5,1.35,Microsoft Copilot
TK-0116,Analyze claim patterns,WL-0030,CL-008,learning,6.0,human,human_ai,22.5,1.35,Microsoft Copilot
TK-0118,Flag missing information,WL-0031,CL-008,feedback_loop,9.6,human,ai,67.5,6.48,Microsoft Copilot
TK-0119,Extract data from claim forms,WL-0031,CL-008,directive,9.6,human,ai,76.5,7.34,Microsoft Copilot
TK-0120,Route to appropriate handler,WL-0031,CL-008,directive,9.6,human,ai,76.5,7.34,Microsoft Copilot
TK-0121,Classify document type,WL-0031,CL-008,directive,9.6,human,ai,76.5,7.34,Microsoft Copilot
TK-0123,Flag data inconsistencies,WL-0032,CL-008,directive,10.7,human,ai,76.5,8.19,Microsoft Copilot
TK-0124,Enter claim data into system,WL-0032,CL-008,directive,10.7,human,ai,76.5,8.19,Microsoft Copilot
TK-0127,Schedule follow-up calls,WL-0033,CL-008,directive,13.3,human,ai,76.5,10.17,Microsoft Copilot
TK-0129,Schedule follow-up calls,WL-0034,CL-009,directive,8.0,human,ai,76.5,6.12,Microsoft Copilot
TK-0131,Draft status update emails,WL-0034,CL-009,directive,8.0,human,ai,76.5,6.12,Microsoft Copilot
TK-0133,Flag missing information,WL-0035,CL-009,feedback_loop,16.0,human,ai,67.5,10.8,Microsoft Copilot
TK-0134,Route to appropriate handler,WL-0035,CL-009,directive,16.0,human,ai,76.5,12.24,Microsoft Copilot
TK-0135,Classify document type,WL-0035,CL-009,directive,16.0,human,ai,76.5,12.24,Microsoft Copilot
TK-0137,Research applicable regulations,WL-0036,CL-009,learning,8.0,human,human_ai,22.5,1.8,Microsoft Copilot
TK-0139,Track regulatory deadlines,WL-0037,CL-009,directive,4.0,human,ai,76.5,3.06,Microsoft Copilot
TK-0140,Update compliance checklists,WL-0037,CL-009,feedback_loop,4.0,human,ai,67.5,2.7,Microsoft Copilot
TK-0141,Generate compliance reports,WL-0037,CL-009,directive,4.0,human,ai,76.5,3.06,Microsoft Copilot
TK-0143,Enter claim data into system,WL-0038,CL-009,directive,8.0,human,ai,76.5,6.12,Microsoft Copilot
TK-0144,Flag data inconsistencies,WL-0038,CL-009,directive,8.0,human,ai,76.5,6.12,Microsoft Copilot
TK-0145,Cross-reference policy details,WL-0038,CL-009,feedback_loop,8.0,human,ai,67.5,5.4,Microsoft Copilot
TK-0146,Reconcile multi-source data,WL-0038,CL-009,task_iteration,8.0,human,human_ai,31.5,2.52,Microsoft Copilot
TK-0147,Flag missing information,WL-0039,CL-010,feedback_loop,24.5,human,ai,67.5,16.54,Microsoft Copilot
TK-0148,Extract data from claim forms,WL-0039,CL-010,directive,24.5,human,ai,76.5,18.74,Microsoft Copilot
TK-0151,Draft status update emails,WL-0040,CL-010,directive,15.2,human,ai,76.5,11.63,Microsoft Copilot
TK-0152,Schedule follow-up calls,WL-0040,CL-010,directive,15.2,human,ai,76.5,11.63,Microsoft Copilot
TK-0154,Track regulatory deadlines,WL-0041,CL-010,directive,6.0,human,ai,76.5,4.59,Microsoft Copilot
TK-0156,Generate compliance reports,WL-0041,CL-010,directive,6.0,human,ai,76.5,4.59,Microsoft Copilot
TK-0157,Update compliance checklists,WL-0041,CL-010,feedback_loop,6.0,human,ai,67.5,4.05,Microsoft Copilot
TK-0158,Reconcile multi-source data,WL-0042,CL-011,task_iteration,9.6,human,human_ai,31.5,3.02,Microsoft Copilot
TK-0159,Cross-reference policy details,WL-0042,CL-011,feedback_loop,9.6,human,ai,67.5,6.48,Microsoft Copilot
TK-0160,Enter claim data into system,WL-0042,CL-011,directive,9.6,human,ai,76.5,7.34,Microsoft Copilot
TK-0161,Flag data inconsistencies,WL-0042,CL-011,directive,9.6,human,ai,76.5,7.34,Microsoft Copilot
TK-0163,Draft status update emails,WL-0043,CL-011,directive,11.6,human,ai,76.5,8.87,Microsoft Copilot
TK-0165,Schedule follow-up calls,WL-0043,CL-011,directive,11.6,human,ai,76.5,8.87,Microsoft Copilot
TK-0166,Route to appropriate handler,WL-0044,CL-011,directive,14.0,human,ai,76.5,10.71,Microsoft Copilot
TK-0168,Extract data from claim forms,WL-0044,CL-011,directive,14.0,human,ai,76.5,10.71,Microsoft Copilot
TK-0169,Flag missing information,WL-0044,CL-011,feedback_loop,14.0,human,ai,67.5,9.45,Microsoft Copilot
TK-0170,Track regulatory deadlines,WL-0045,CL-011,directive,6.4,human,ai,76.5,4.9,Microsoft Copilot
TK-0171,Generate compliance reports,WL-0045,CL-011,directive,6.4,human,ai,76.5,4.9,Microsoft Copilot
TK-0172,Update compliance checklists,WL-0045,CL-011,feedback_loop,6.4,human,ai,67.5,4.32,Microsoft Copilot
TK-0173,Compile evidence summary,WL-0046,CL-012,task_iteration,10.0,human,human_ai,31.5,3.15,Microsoft Copilot
TK-0175,Analyze claim patterns,WL-0046,CL-012,learning,10.0,human,human_ai,22.5,2.25,Microsoft Copilot
TK-0177,Enter claim data into system,WL-0047,CL-012,directive,13.2,human,ai,76.5,10.1,Microsoft Copilot
TK-0178,Cross-reference policy details,WL-0047,CL-012,feedback_loop,13.2,human,ai,67.5,8.91,Microsoft Copilot
TK-0180,Flag data inconsistencies,WL-0047,CL-012,directive,13.2,human,ai,76.5,10.1,Microsoft Copilot
TK-0181,Draft status update emails,WL-0048,CL-012,directive,22.4,human,ai,76.5,17.14,Microsoft Copilot
TK-0182,Schedule follow-up calls,WL-0048,CL-012,directive,22.4,human,ai,76.5,17.14,Microsoft Copilot
