task_id,workload_id,task_name,category,effort_hours_month,automatable_by_tool,compliance_mandated_human
TK-0180,WL-0047,Flag data inconsistencies,directive,13.2,Custom Claims AI,False
TK-0181,WL-0048,Draft status update emails,directive,22.4,Microsoft Copilot,False
TK-0182,WL-0048,Schedule follow-up calls,directive,22.4,Microsoft Copilot,False
TK-0183,WL-0048,Respond to customer inquiries,negligibility,22.4,,False
TK-0184,WL-0049,Schedule and track tasks,directive,12.0,Microsoft Copilot,False
TK-0185,WL-0049,Facilitate team retrospectives,negligibility,12.0,,False
TK-0186,WL-0049,Stakeholder communication,negligibility,12.0,,False
TK-0187,WL-0049,Mentor junior developers,negligibility,12.0,,True
TK-0188,WL-0050,Investigate root causes,learning,16.0,,False
TK-0189,WL-0050,Monitor system alerts,directive,16.0,ServiceNow AI,False
TK-0190,WL-0050,Coordinate incident response,negligibility,16.0,,False
TK-0191,WL-0050,Classify incident severity,directive,16.0,ServiceNow AI,False
TK-0192,WL-0051,Create architecture diagrams,negligibility,12.0,,False
TK-0193,WL-0051,Review documentation accuracy,validation,12.0,,False
TK-0194,WL-0051,Generate API documentation,directive,12.0,Microsoft Copilot,False
TK-0195,WL-0051,Update runbooks,task_iteration,12.0,Microsoft Copilot,False
TK-0196,WL-0052,Monitor system alerts,directive,9.9,ServiceNow AI,False
TK-0197,WL-0052,Coordinate incident response,negligibility,9.9,,False
TK-0198,WL-0052,Classify incident severity,directive,9.9,ServiceNow AI,False
TK-0199,WL-0052,Investigate root causes,learning,9.9,,False
TK-0200,WL-0052,Tune alert thresholds,feedback_loop,9.9,ServiceNow AI,False
TK-0201,WL-0053,Review documentation accuracy,validation,9.2,,False
TK-0202,WL-0053,Create architecture diagrams,negligibility,9.2,,False
TK-0203,WL-0053,Update runbooks,task_iteration,9.2,Microsoft Copilot,False
TK-0204,WL-0053,Generate API documentation,directive,9.2,Microsoft Copilot,False
TK-0205,WL-0054,Research new frameworks,learning,18.4,Microsoft Copilot,False
TK-0206,WL-0054,Make architectural trade-offs,negligibility,18.4,,False
TK-0207,WL-0054,Write boilerplate code,directive,18.4,Microsoft Copilot,False
TK-0208,WL-0054,Refine code architecture,task_iteration,18.4,Microsoft Copilot,False
TK-0209,WL-0055,Create architecture diagrams,negligibility,6.0,,False
TK-0210,WL-0055,Update runbooks,task_iteration,6.0,Microsoft Copilot,False
TK-0211,WL-0055,Generate API documentation,directive,6.0,Microsoft Copilot,False
TK-0212,WL-0055,Review documentation accuracy,validation,6.0,,False
TK-0213,WL-0056,Research new frameworks,learning,12.0,Microsoft Copilot,False
TK-0214,WL-0056,Make architectural trade-offs,negligibility,12.0,,False
TK-0215,WL-0056,Debug with AI assistance,feedback_loop,12.0,Microsoft Copilot,False
TK-0216,WL-0056,Write boilerplate code,directive,12.0,Microsoft Copilot,False
TK-0217,WL-0057,Define non-functional requirements,negligibility,8.0,,False
TK-0218,WL-0057,Evaluate technology options,task_iteration,8.0,,False
TK-0219,WL-0057,Design system interfaces,negligibility,8.0,,False
TK-0220,WL-0057,Research design patterns,learning,8.0,Microsoft Copilot,False
TK-0221,WL-0058,Investigate root causes,learning,8.0,,False
TK-0222,WL-0058,Monitor system alerts,directive,8.0,ServiceNow AI,False
TK-0223,WL-0058,Coordinate incident response,negligibility,8.0,,False
TK-0224,WL-0058,Tune alert thresholds,feedback_loop,8.0,ServiceNow AI,False
TK-0225,WL-0059,Stakeholder communication,negligibility,8.0,,False
TK-0226,WL-0059,Schedule and track tasks,directive,8.0,Microsoft Copilot,False
TK-0227,WL-0059,Facilitate team retrospectives,negligibility,8.0,,False
TK-0228,WL-0060,Schedule and track tasks,directive,6.0,Microsoft Copilot,False
TK-0229,WL-0060,Mentor junior developers,negligibility,6.0,,True
TK-0230,WL-0060,Facilitate team retrospectives,negligibility,6.0,,False
TK-0231,WL-0060,Stakeholder communication,negligibility,6.0,,False
TK-0232,WL-0061,Tune alert thresholds,feedback_loop,6.4,ServiceNow AI,False
TK-0233,WL-0061,Investigate root causes,learning,6.4,,False
TK-0234,WL-0061,Coordinate incident response,negligibility,6.4,,False
TK-0235,WL-0061,Monitor system alerts,directive,6.4,ServiceNow AI,False
TK-0236,WL-0061,Classify incident severity,directive,6.4,ServiceNow AI,False
TK-0237,WL-0062,Refine code architecture,task_iteration,12.0,Microsoft Copilot,False
TK-0238,WL-0062,Write boilerplate code,directive,12.0,Microsoft Copilot,False
TK-0239,WL-0062,Make architectural trade-offs,negligibility,12.0,,False
TK-0240,WL-0062,Research new frameworks,learning,12.0,Microsoft Copilot,False
TK-0241,WL-0063,Create architecture diagrams,negligibility,6.0,,False
TK-0242,WL-0063,Generate API documentation,directive,6.0,Microsoft Copilot,False
TK-0243,WL-0063,Review documentation accuracy,validation,6.0,,False
TK-0244,WL-0063,Update runbooks,task_iteration,6.0,Microsoft Copilot,False
TK-0245,WL-0064,Research design patterns,learning,8.0,Microsoft Copilot,False
TK-0246,WL-0064,Evaluate technology options,task_iteration,8.0,,False
TK-0247,WL-0064,Define non-functional requirements,negligibility,8.0,,False
TK-0248,WL-0064,Design system interfaces,negligibility,8.0,,False
TK-0249,WL-0065,Mentor junior developers,negligibility,8.0,,True
TK-0250,WL-0065,Schedule and track tasks,directive,8.0,Microsoft Copilot,False
TK-0251,WL-0065,Stakeholder communication,negligibility,8.0,,False
TK-0252,WL-0066,Review documentation accuracy,validation,6.0,,False
TK-0253,WL-0066,Update runbooks,task_iteration,6.0,Microsoft Copilot,False
TK-0254,WL-0066,Create architecture diagrams,negligibility,6.0,,False
TK-0255,WL-0066,Generate API documentation,directive,6.0,Microsoft Copilot,False
TK-0256,WL-0067,Debug with AI assistance,feedback_loop,12.0,Microsoft Copilot,False
TK-0257,WL-0067,Research new frameworks,learning,12.0,Microsoft Copilot,False
TK-0258,WL-0067,Write boilerplate code,directive,12.0,Microsoft Copilot,False
TK-0259,WL-0067,Refine code architecture,task_iteration,12.0,Microsoft Copilot,False
TK-0260,WL-0068,Research design patterns,learning,10.7,Microsoft Copilot,False
TK-0261,WL-0068,Design system interfaces,negligibility,10.7,,False
TK-0262,WL-0068,Define non-functional requirements,negligibility,10.7,,False
TK-0263,WL-0069,Investigate root causes,learning,6.4,,False
TK-0264,WL-0069,Coordinate incident response,negligibility,6.4,,False
TK-0265,WL-0069,Classify incident severity,directive,6.4,ServiceNow AI,False
TK-0266,WL-0069,Monitor system alerts,directive,6.4,ServiceNow AI,False
TK-0267,WL-0069,Tune alert thresholds,feedback_loop,6.4,ServiceNow AI,False
TK-0268,WL-0070,Refine code architecture,task_iteration,14.0,Microsoft Copilot,False
TK-0269,WL-0070,Write boilerplate code,directive,14.0,Microsoft Copilot,False
TK-0270,WL-0070,Research new frameworks,learning,14.0,Microsoft Copilot,False
TK-0271,WL-0070,Make architectural trade-offs,negligibility,14.0,,False
TK-0272,WL-0071,Generate API documentation,directive,7.2,Microsoft Copilot,False
TK-0273,WL-0071,Review documentation accuracy,validation,7.2,,False
TK-0274,WL-0071,Create architecture diagrams,negligibility,7.2,,False
TK-0275,WL-0071,Update runbooks,task_iteration,7.2,Microsoft Copilot,False
TK-0276,WL-0072,Define non-functional requirements,negligibility,9.6,,False
TK-0277,WL-0072,Evaluate technology options,task_iteration,9.6,,False
TK-0278,WL-0072,Design system interfaces,negligibility,9.6,,False
TK-0279,WL-0072,Research design patterns,learning,9.6,Microsoft Copilot,False
TK-0280,WL-0073,Classify incident severity,directive,9.6,ServiceNow AI,False
TK-0281,WL-0073,Monitor system alerts,directive,9.6,ServiceNow AI,False
TK-0282,WL-0073,Coordinate incident response,negligibility,9.6,,False
TK-0283,WL-0073,Tune alert thresholds,feedback_loop,9.6,ServiceNow AI,False
TK-0284,WL-0074,Design system interfaces,negligibility,12.8,,False
TK-0285,WL-0074,Define non-functional requirements,negligibility,12.8,,False
TK-0286,WL-0074,Evaluate technology options,task_iteration,12.8,,False
TK-0287,WL-0075,Schedule and track tasks,directive,7.2,Microsoft Copilot,False
TK-0288,WL-0075,Stakeholder communication,negligibility,7.2,,False
TK-0289,WL-0075,Facilitate team retrospectives,negligibility,7.2,,False
TK-0290,WL-0075,Mentor junior developers,negligibility,7.2,,True
TK-0291,WL-0076,Classify incident severity,directive,12.8,ServiceNow AI,False
TK-0292,WL-0076,Tune alert thresholds,feedback_loop,12.8,ServiceNow AI,False
TK-0293,WL-0076,Monitor system alerts,directive,12.8,ServiceNow AI,False
TK-0294,WL-0077,Refine code architecture,task_iteration,14.0,Microsoft Copilot,False
TK-0295,WL-0077,Make architectural trade-offs,negligibility,14.0,,False
TK-0296,WL-0077,Debug with AI assistance,feedback_loop,14.0,Microsoft Copilot,False
TK-0297,WL-0077,Write boilerplate code,directive,14.0,Microsoft Copilot,False
TK-0298,WL-0078,Define non-functional requirements,negligibility,10.7,,False
TK-0299,WL-0078,Design system interfaces,negligibility,10.7,,False
TK-0300,WL-0078,Evaluate technology options,task_iteration,10.7,,False
TK-0301,WL-0079,Classify incident severity,directive,8.0,ServiceNow AI,False
TK-0302,WL-0079,Investigate root causes,learning,8.0,,False
TK-0303,WL-0079,Tune alert thresholds,feedback_loop,8.0,ServiceNow AI,False
TK-0304,WL-0079,Monitor system alerts,directive,8.0,ServiceNow AI,False
TK-0305,WL-0080,Generate API documentation,directive,6.0,Microsoft Copilot,False
TK-0306,WL-0080,Update runbooks,task_iteration,6.0,Microsoft Copilot,False
TK-0307,WL-0080,Create architecture diagrams,negligibility,6.0,,False
TK-0308,WL-0080,Review documentation accuracy,validation,6.0,,False
TK-0309,WL-0081,Stakeholder communication,negligibility,8.0,,False
TK-0310,WL-0081,Schedule and track tasks,directive,8.0,Microsoft Copilot,False
TK-0311,WL-0081,Facilitate team retrospectives,negligibility,8.0,,False
TK-0312,WL-0082,Make architectural trade-offs,negligibility,9.6,,False
TK-0313,WL-0082,Research new frameworks,learning,9.6,Microsoft Copilot,False
TK-0314,WL-0082,Refine code architecture,task_iteration,9.6,Microsoft Copilot,False
TK-0315,WL-0082,Debug with AI assistance,feedback_loop,9.6,Microsoft Copilot,False
TK-0316,WL-0082,Write boilerplate code,directive,9.6,Microsoft Copilot,False
TK-0317,WL-0083,Define non-functional requirements,negligibility,10.7,,False
TK-0318,WL-0083,Research design patterns,learning,10.7,Microsoft Copilot,False
TK-0319,WL-0083,Evaluate technology options,task_iteration,10.7,,False
TK-0320,WL-0084,Create architecture diagrams,negligibility,6.0,,False
TK-0321,WL-0084,Review documentation accuracy,validation,6.0,,False
TK-0322,WL-0084,Update runbooks,task_iteration,6.0,Microsoft Copilot,False
TK-0323,WL-0084,Generate API documentation,directive,6.0,Microsoft Copilot,False
TK-0324,WL-0085,Write boilerplate code,directive,9.6,Microsoft Copilot,False
TK-0325,WL-0085,Debug with AI assistance,feedback_loop,9.6,Microsoft Copilot,False
TK-0326,WL-0085,Research new frameworks,learning,9.6,Microsoft Copilot,False
TK-0327,WL-0085,Refine code architecture,task_iteration,9.6,Microsoft Copilot,False
TK-0328,WL-0085,Make architectural trade-offs,negligibility,9.6,,False
TK-0329,WL-0086,Tune alert thresholds,feedback_loop,6.4,ServiceNow AI,False
TK-0330,WL-0086,Coordinate incident response,negligibility,6.4,,False
TK-0331,WL-0086,Monitor system alerts,directive,6.4,ServiceNow AI,False
TK-0332,WL-0086,Classify incident severity,directive,6.4,ServiceNow AI,False
TK-0333,WL-0086,Investigate root causes,learning,6.4,,False
TK-0334,WL-0087,Schedule and track tasks,directive,8.0,Microsoft Copilot,False
TK-0335,WL-0087,Mentor junior developers,negligibility,8.0,,True
TK-0336,WL-0087,Stakeholder communication,negligibility,8.0,,False
TK-0337,WL-0088,Mentor junior developers,negligibility,10.8,,True
TK-0338,WL-0088,Stakeholder communication,negligibility,10.8,,False
TK-0339,WL-0088,Schedule and track tasks,directive,10.8,Microsoft Copilot,False
TK-0340,WL-0088,Facilitate team retrospectives,negligibility,10.8,,False
TK-0341,WL-0089,Evaluate technology options,task_iteration,19.2,,False
TK-0342,WL-0089,Define non-functional requirements,negligibility,19.2,,False
TK-0343,WL-0089,Research design patterns,learning,19.2,Microsoft Copilot,False
TK-0344,WL-0090,Coordinate incident response,negligibility,14.4,,False
TK-0345,WL-0090,Classify incident severity,directive,14.4,ServiceNow AI,False
TK-0346,WL-0090,Tune alert thresholds,feedback_loop,14.4,ServiceNow AI,False
TK-0347,WL-0090,Monitor system alerts,directive,14.4,ServiceNow AI,False
TK-0348,WL-0091,Document resolution,task_iteration,10.0,Microsoft Copilot,False
TK-0349,WL-0091,Identify discrepancies,feedback_loop,10.0,UiPath RPA,False
TK-0350,WL-0091,Investigate variances,learning,10.0,,False
TK-0351,WL-0091,Match bank statements,directive,10.0,UiPath RPA,False
TK-0352,WL-0092,Research market conditions,learning,6.0,Microsoft Copilot,False
TK-0353,WL-0092,Present to leadership,negligibility,6.0,,False
TK-0354,WL-0092,Build financial models,task_iteration,6.0,Microsoft Copilot,False
TK-0355,WL-0092,Develop scenario projections,negligibility,6.0,,False
TK-0356,WL-0093,Post journal entries,directive,9.6,Workday AI,False
TK-0357,WL-0093,Approve routine payments,validation,9.6,,True
TK-0358,WL-0093,Flag exceptions,feedback_loop,9.6,UiPath RPA,False
TK-0359,WL-0093,Process invoices,directive,9.6,UiPath RPA,False
TK-0360,WL-0093,Match PO to invoice,directive,9.6,UiPath RPA,False
TK-0361,WL-0094,Analyze trends,task_iteration,10.7,Microsoft Copilot,False
TK-0362,WL-0094,Consolidate departmental data,directive,10.7,Workday AI,False
TK-0363,WL-0094,Review for accuracy,validation,10.7,,True
TK-0364,WL-0095,Prepare audit documentation,directive,5.3,Microsoft Copilot,False
TK-0365,WL-0095,Test internal controls,validation,5.3,,True
TK-0366,WL-0095,Track compliance deadlines,directive,5.3,ServiceNow AI,False
